word,creole_word,creole_name,latlon,acrolect
"a, an",youn,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
aback,pa sipriz (taken by surprise),Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abandon,"abandone, kite",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abase,"abese (to lower in rank-office-prestige), ~diminye (to lower physical)",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abash,demoralize (to destroy the self-confidence of),Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abbreviate,abreje,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abdicate,abdike,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abduct,"kidnape, anlve",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abet,"ensite (incite, urge on, instigate), eksite (excite)",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abhor,"deteste (loathe, to regard with extreme   repugnance), rayi (hate)",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abide,respekte (respect),Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
ability,"abilite, aptitud",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abject,"abjèk, degoutan",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
able,kapab,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abolish,aboli,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abound,"gen anpil, abonde",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
about,"apropo, a",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
above,"anlè, soutèt",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abrade (to srcape),"graje, fwote (to rub), kòche",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abreast,okouran,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abridge,abreje,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abroad,lòtbò,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abrupt,"avrip, brid sou kou, bripbrip",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
absence,absans,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
absolve,absoud,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
absorb,absòbe,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abstain,abstrenn,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
absurd,absid,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
abuse,"abi,  abize",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
academic,akademik,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accede,"aksede, rantre",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accept,aksepte,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
access,"aksè,  aksede, rantre",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accident,aksidan,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accommodate,"akomode, loje",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accompany,akonpanye,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accord,"akò,  akòde",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
according to,daprè,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accost,"akoste, bòde",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
account,"kont,  jistifye, eksplike",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accumulate,"akimile, rasanble",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accurate,"egzak, byen mezire",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
accustom,familyarize,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
ache,"doulè, mal",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
achieve,"reyalize, reyisi",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acid,asid,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acquaint,fè konesans,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acquaintance,"konesans, zanmi",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acquire,"ranmase, trouve",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acquit,akite,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acrid,"rak, brak",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
across,atravè,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
across from,an fas,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
act,v aji,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
act,"n zak, akt",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
active,aktif,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
activity,aktivite,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
actuate,"balanse, aksyonen",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
acute,"pwenti, egu",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
adapt,adapte,Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
add,"adisyone, ajoute, ogmante",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
addict,"droge, adikte",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
addle,"pouri (rotten, lousy)",Haitian Creole,"[[-72.33179106730078, 18.946199616160314], [-70.44295164779165, 18.970168733061016]]",French
